Job ID,State,Count
cyt7s04y2gd000880ymg
01000,112
00000,9204
00010,214
10000,217
00001,35
00100,187
00110,6
11000,6
10001,3
01010,4
10100,5
01100,4
10010,2
00011,1
Job ID,State,Count
cyt5esk78z600082h090
00000,9163
00100,217
00001,26
00010,204
10000,244
11000,6
01000,120
01001,1
00101,2
01100,1
10010,5
10100,4
01010,3
00110,4
Job ID,State,Count
cyt5esk78z600082h090
00000,7883
00100,172
00010,192
10000,1200
01000,392
10010,34
11000,42
01010,17
00001,23
10100,26
11010,5
00110,3
01100,3
01110,1
11100,2
10001,2
11001,1
01001,1
10110,1
Job ID,State,Count
cyt5esk78z600082h090
00000,7791
10000,1282
11000,48
01000,367
10100,33
00010,232
10001,7
10010,28
00100,158
11010,2
01001,2
01100,10
00001,26
01010,9
00110,4
00101,1
Job ID,State,Count
cyt9g2078z600082jez0
01000,449
00000,7779
10000,1225
11000,61
00010,216
00100,142
10100,26
00001,42
10010,21
01010,17
11100,2
00110,3
10001,5
01100,9
11010,1
01001,1
10110,1
Job ID,State,Count
cz2pfmpkvm9g008fx61g
00100,194
00000,9186
00010,229
10000,172
00001,72
11000,9
01000,116
00110,4
00011,3
01100,6
01010,2
00101,1
10001,1
10010,2
10100,2
00111,1
Job ID,State,Count
cz2pgzb10wx0008b5x20
00000,9222
10000,160
00010,203
00100,196
01100,3
00001,57
01000,119
10100,9
10010,3
11000,10
01001,1
00110,7
00011,3
01010,4
10001,3
Job ID,State,Count
cz2pha5p6030008c51kg
00100,209
00000,9233
01000,119
10000,137
00110,9
11000,10
00010,185
00001,72
10110,1
10100,1
01100,2
00101,3
10010,7
01010,8
00011,3
01001,1
Job ID,State,Count
cz2phsqp6030008c51s0
00000,9229
00100,193
10000,161
00010,230
00001,52
01000,106
01010,1
10010,8
00011,2
10100,5
11000,6
00110,1
01100,2
10001,3
00101,1
Job ID,State,Count
cz2pj8s39f40008s31zg
00000,9163
01000,113
10000,210
00010,210
01010,4
00100,215
00001,60
11000,8
01100,2
00110,4
01001,2
10100,3
00011,2
01011,1
00101,1
10001,1
10010,1
Job ID,State,Count
cz2pjrv39f40008s324g
00000,9221
00010,212
01000,126
10000,165
00100,184
00001,59
00101,3
10010,4
11000,6
00110,6
01100,4
10100,4
00011,4
01010,1
01110,1
