Job ID,State,Count
czgpt28fcch0008aj600
11000,32
11010,366
11111,37
00000,3796
10100,804
01110,239
10010,79
00011,41
10000,110
00111,337
01001,952
10011,339
11101,833
01000,535
00001,414
11110,45
10101,154
00100,66
10110,38
00010,102
00110,65
01010,40
11100,158
11011,112
10111,39
01111,115
01011,30
01100,18
11001,38
01101,27
00101,15
10001,24
czgpt30zj67g008sdbsg
01100,21
10100,860
00000,3948
10000,109
01110,231
00001,450
01001,857
10101,148
01000,533
11101,748
01111,111
01010,50
10010,100
11100,166
10001,14
00011,23
11011,133
00111,300
10011,318
11111,34
10110,37
00110,54
11010,375
01101,29
00100,65
11110,28
00101,9
11000,32
10111,41
11001,50
01011,18
00010,108
czgpt3rhrmy000842m30
00110,73
00000,3747
00001,466
10000,103
01110,213
10100,764
11100,161
11101,906
10101,125
01111,120
10011,324
01001,1048
11010,331
11111,33
00101,19
00111,317
00100,67
01000,535
01011,24
11000,35
10110,32
11110,34
00010,106
01010,30
10010,83
01101,31
01100,11
11001,52
10001,20
10111,37
11011,127
00011,26
