Job ID,State,Count
czcs2tk4spc000879am0
00000,8817
00010,369
10000,254
00001,73
01000,180
00100,253
10100,9
10001,2
10010,10
00110,13
11000,6
01010,7
01100,4
11010,1
01001,1
01110,1
czcs2vbb7tt0008gjpb0
00000,8881
01000,184
00010,369
00100,242
10000,216
10100,5
00001,67
11000,8
01010,9
01100,4
00110,2
10010,12
00101,1
czcs2vv4spc000879amg
00000,8971
01000,169
10000,217
00100,222
00010,332
00001,47
01100,2
11000,3
10010,8
11100,1
10100,6
01010,7
00110,9
00011,1
10001,2
01001,2
11010,1
czcs3cdtp60g008hfmfg
00000,8896
01000,176
00100,198
10000,254
00010,375
01010,10
11010,1
01001,3
00001,49
11000,4
10010,16
10100,3
00110,8
01100,5
00101,1
10110,1
czcs3d5qadq0008cns00
00000,8902
00010,334
00100,249
10000,249
01000,165
01010,7
00011,2
10110,3
00001,51
11000,8
10010,12
00101,3
01001,2
00110,6
01100,3
10100,3
11100,1
czcs3dntp60g008hfmg0
00000,8842
00010,327
10000,293
00100,266
01000,171
00001,46
10010,8
00110,13
00111,1
01100,3
11000,5
10100,10
10001,3
01010,7
11010,2
01110,1
00011,1
00101,1
czcs3jpqadq0008cns1g
00000,8888
10000,251
00010,359
01000,168
00100,230
10010,8
00001,54
00101,2
01010,4
00110,14
10001,2
10100,4
01001,2
00011,6
11000,4
00111,1
01100,2
10011,1
czcs3kehfwp00088bq1g
00000,8833
01000,200
00010,353
10000,292
00100,212
10100,6
00110,15
11000,7
00001,48
01100,6
10010,12
01010,8
00101,2
10001,1
00011,2
01110,1
11001,1
11010,1
czcs3m6r3jrg008pany0
00100,240
00000,8880
00001,53
10000,223
00010,377
01000,182
11000,9
00110,10
10100,5
01100,5
01010,3
10010,8
00101,2
10001,2
00011,1
czcs3qyhfwp00088bq2g
10000,302
00000,8825
00010,393
00100,209
10100,7
01000,162
11000,9
00001,55
10010,9
01010,7
10001,3
11010,1
00110,9
01100,6
00101,1
00011,2
czcs3rqr3jrg008panz0
00000,8833
10000,316
00010,353
01000,190
00100,226
00001,42
00110,10
10110,1
10010,7
10100,7
11000,4
00011,2
00101,1
01010,4
01001,1
01100,3
czcs3s7hfwp00088bq30
00000,8850
00010,378
10000,276
00100,223
10010,10
01000,171
00110,8
00001,47
11000,9
00101,1
01010,7
10001,1
00011,3
10100,9
01100,5
01001,2
